uses	url	alt_text
9	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Antikythera.JPG/960px-Antikythera.JPG	Antikythera's harbor Potamos,Antikythera's harbour Potamos
8	https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/NAMA_Machine_d'Anticyth%C3%A8re_1.jpg/960px-NAMA_Machine_d'Anticyth%C3%A8re_1.jpg	Antikythera mechanism,Buried Treasure
8	https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Mechanism_of_Antikythera_-_Kotsanas_version_-_front_side.jpg/960px-Mechanism_of_Antikythera_-_Kotsanas_version_-_front_side.jpg	Recreation
4	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Word_vector_illustration.jpg/960px-Word_vector_illustration.jpg	Man - Woman = King - Queen
4	https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Full_GPT_architecture.svg/960px-Full_GPT_architecture.svg	GPT
4	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cortical_Columns.jpg/960px-Cortical_Columns.jpg	Mammal Cortical Column Repetition
4	https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Tic-tac-toe-game-tree.svg/960px-Tic-tac-toe-game-tree.svg	Game Tree
4	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Pythagorean.svg/960px-Pythagorean.svg	Pythagorean
4	https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Prager_symmetrical_truss.jpg/960px-Prager_symmetrical_truss.jpg	Discrete optimum Prager truss (1977)
3	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Rectangle2-area-is-bh.svg/960px-Rectangle2-area-is-bh.svg	Triangle Area
3	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Houghton_univ_logo.png/960px-Houghton_univ_logo.png	Houghton University
3	https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/LEGO_logo.svg/960px-LEGO_logo.svg	
3	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/960px-Google_2015_logo.svg	
3	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Webb%27s_First_Deep_Field.jpg/960px-Webb%27s_First_Deep_Field.jpg	James Webb First Deep Field
3	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Pale_Blue_Dot.png/960px-Pale_Blue_Dot.png	Pale Blue Dot
3	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Total_Solar_Eclipse_8-21-17.jpg/960px-Total_Solar_Eclipse_8-21-17.jpg	Solar Eclipse
3	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/DFAexample.svg/960px-DFAexample.svg	DFA to accept string containing an even number of zeroes
3	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Multithreaded_process.svg/960px-Multithreaded_process.svg	Multi-threaded process,Process,Process with 2 threads
3	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Von_Neumann_Architecture.svg/960px-Von_Neumann_Architecture.svg	Von Neumann Architecture
3	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Standard_deviation_diagram.svg/960px-Standard_deviation_diagram.svg	Normal distribution,Stand Deviation Diagram,Standard Deviation
2	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/3-bit_resolution_analog_comparison.png/960px-3-bit_resolution_analog_comparison.png	Analog to digital quantization
2	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/JWST_spacecraft_model_3.png/960px-JWST_spacecraft_model_3.png	
2	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Google_Wifi_icon.png/960px-Google_Wifi_icon.png	
2	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/HTTP_logo.svg/960px-HTTP_logo.svg	HTTP Logo
2	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Maslow%27s_Hierarchy_of_Needs_Diagram.png/960px-Maslow%27s_Hierarchy_of_Needs_Diagram.png	Needs
2	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Boxmodell-detail.png/960px-Boxmodell-detail.png	Box Model
2	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Testing_Pyramid.png/960px-Testing_Pyramid.png	Test Pyramid,Testing Pyramid
2	https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/FortranCardPROJ039.agr.jpg/960px-FortranCardPROJ039.agr.jpg	Punch card with Fortran statement,Punched Card
2	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/ComputerMemoryHierarchy.svg/960px-ComputerMemoryHierarchy.svg	Memory Hierarchy
2	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Call_stack_layout.svg/960px-Call_stack_layout.svg	Upward-growing call stack
2	https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Fivestagespipeline.png/960px-Fivestagespipeline.png	Classic MIPS Pipeline,Pipeline Example
2	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Virtual_memory.svg/960px-Virtual_memory.svg	Process Memory,Virtual Memory
2	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/MMU_principle_updated.png/960px-MMU_principle_updated.png	MMU details,Virtual Memory System
2	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Laptop-hard-drive-exposed.jpg/960px-Laptop-hard-drive-exposed.jpg	Disk drive hardware,Laptop HDD
2	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/B-tree.svg/960px-B-tree.svg	B-tree,Example B-tree
2	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Neural_network_example.svg/960px-Neural_network_example.svg	Artificial Neural Network
2	https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Huffman_tree_2.svg/960px-Huffman_tree_2.svg	"""this is an example of a Huffman tree"",Huffman tree example"
2	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Recurrent_neural_network_unfold.svg/960px-Recurrent_neural_network_unfold.svg	RNN,Recurrent Neural Network
2	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Intel_i9-14900KF_CPU.jpg/960px-Intel_i9-14900KF_CPU.jpg	CPU,Intel Core i9
2	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/2023_Dysk_SSD_Patriot_P210_2TB.jpg/960px-2023_Dysk_SSD_Patriot_P210_2TB.jpg	SATA SSD,SSD or Hard Drive (Non-volatile storage)
2	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Computer-motherboard.jpg/960px-Computer-motherboard.jpg	Motherboard
2	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/SQL_Join_-_01_A_Left_Join_B.svg/960px-SQL_Join_-_01_A_Left_Join_B.svg	Left outer join diagram,Outer join diagram
2	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Logistic-curve.svg/960px-Logistic-curve.svg	Logistic Function
2	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Exam_pass_logistic_curve.jpeg/960px-Exam_pass_logistic_curve.jpeg	Logistic Regression Example
2	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/VC2.svg/960px-VC2.svg	Linearly separable
2	https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/VC4.svg/960px-VC4.svg	Not linearly separable
2	https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Dijkstras_progress_animation.gif/960px-Dijkstras_progress_animation.gif	A* with 0 heuristic (uniform cost search),Shortest path example
2	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/R-S_mk2.gif/960px-R-S_mk2.gif	SR Latch
2	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Float_example.svg/960px-Float_example.svg	IEEE 754 Diagram,IEEE Floating Point Example
2	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Priv_rings.svg/960px-Priv_rings.svg	4-layer protection ring scheme,Protection Rings
2	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Computer_system_bus.svg/960px-Computer_system_bus.svg	System Bus,System Bus with I/O
1	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Lego_dimensions.svg/960px-Lego_dimensions.svg	Brick Dimensions
1	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Chimney_Rock_segment_of_the_Crooked_Wild_and_Scenic_River_%2828099338711%29.jpg/960px-Chimney_Rock_segment_of_the_Crooked_Wild_and_Scenic_River_%2828099338711%29.jpg	Disrupted Flow
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Felis_silvestris_silvestris_small_gradual_decrease_of_quality.png/960px-Felis_silvestris_silvestris_small_gradual_decrease_of_quality.png	Impact of quantizer
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Solar_eclipse_1999_4.jpg/960px-Solar_eclipse_1999_4.jpg	
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Black-headed_weaver_%28Ploceus_cucullatus_bohndorffi%29_male_nest_building.jpg/960px-Black-headed_weaver_%28Ploceus_cucullatus_bohndorffi%29_male_nest_building.jpg	Skill
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Mars-human-exploration-art-astronauts-vehicle-dust-full.jpg/960px-Mars-human-exploration-art-astronauts-vehicle-dust-full.jpg	Human Exploration Concept
1	https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/JPL_Visions_of_the_Future%2C_Mars.jpg/960px-JPL_Visions_of_the_Future%2C_Mars.jpg	Visions of the Future
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/The_different_types_of_JavaScript_functions_explained.webm/960px-The_different_types_of_JavaScript_functions_explained.webm	Function Types
1	https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Anderson_University_Campus.jpg/960px-Anderson_University_Campus.jpg	Campus View
1	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Daucus_carota_2025-07-23-1.jpg/960px-Daucus_carota_2025-07-23-1.jpg	Wild Carrot Flowers
1	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Carrot_seeds_in_Uzbekistan.JPG/960px-Carrot_seeds_in_Uzbekistan.JPG	Carrot Seeds
1	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Carrot_Farm%2C_Inverarity_-_geograph.org.uk_-_1096187.jpg/960px-Carrot_Farm%2C_Inverarity_-_geograph.org.uk_-_1096187.jpg	Carrot Farm
1	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Carrot_harvesting.jpg/960px-Carrot_harvesting.jpg	Newly Harvested Carrots
1	https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/ASA-LIFT_carrot_harvester.jpg/960px-ASA-LIFT_carrot_harvester.jpg	Carrot Harvester
1	https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Apple_blossoms.jpg/960px-Apple_blossoms.jpg	Apple blossom
1	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Adelaide_%28AU%29%2C_Barr_Smith_Library_--_2019_--_0677.jpg/960px-Adelaide_%28AU%29%2C_Barr_Smith_Library_--_2019_--_0677.jpg	University Library
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Classroom_of_the_future.jpg/960px-Classroom_of_the_future.jpg	Future Classroom
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/NOTRE_DAM_du_SABLON-BRUSSELS-Dr._Murali_Mohan_Gurram_%285%29.jpg/960px-NOTRE_DAM_du_SABLON-BRUSSELS-Dr._Murali_Mohan_Gurram_%285%29.jpg	Ecclesiastical Architecture
1	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/HAL9000.svg/960px-HAL9000.svg	HAL 9000
1	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Terminator_silueta.svg/960px-Terminator_silueta.svg	T-800
1	https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Robot_icon.svg/960px-Robot_icon.svg	Robot
1	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Love_Heart_SVG.svg/960px-Love_Heart_SVG.svg	Care
1	https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Eagle_Nebula_M16_and_Comet_C2025_R2_SWAN.png/960px-Eagle_Nebula_M16_and_Comet_C2025_R2_SWAN.png	Nebula
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/AI_benchmark_results_compared_to_humans.svg/960px-AI_benchmark_results_compared_to_humans.svg	25 Years of AI Improvement
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Test_scores_of_AI_systems_on_various_capabilities_relative_to_human_performance_-_Our_World_in_Data.png/960px-Test_scores_of_AI_systems_on_various_capabilities_relative_to_human_performance_-_Our_World_in_Data.png	25 Years of AI Improvement
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/IP_stack_connections.svg/960px-IP_stack_connections.svg	Web and Internet
1	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Checklist-icon.svg/960px-Checklist-icon.svg	Todo List
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Waterfall_model.svg/960px-Waterfall_model.svg	Waterfall
1	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Extreme_Programming.svg/960px-Extreme_Programming.svg	Feedback loops in XP
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/OpenPlanRedBalloon1.jpg/960px-OpenPlanRedBalloon1.jpg	open workspace
1	https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Photographs_of_%C3%89glise_Saint-Thomas-d%27Aquin%2C_Qu%C3%A9bec%2C_Canada_02.jpg/960px-Photographs_of_%C3%89glise_Saint-Thomas-d%27Aquin%2C_Qu%C3%A9bec%2C_Canada_02.jpg	Hymnal
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Diagram_for_the_computation_of_Bernoulli_numbers.jpg/960px-Diagram_for_the_computation_of_Bernoulli_numbers.jpg	First computer program? (Ada Lovelace, 1840)
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Wartime_picture_of_a_Bletchley_Park_Bombe.jpg/960px-Wartime_picture_of_a_Bletchley_Park_Bombe.jpg	A Bombe used for Enigma decryption
1	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Two_women_operating_ENIAC.gif/960px-Two_women_operating_ENIAC.gif	ENIAC - first general purpose computer
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Compiler_design.svg/960px-Compiler_design.svg	Three stage compiler architecture
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Ideal_projectile_motion_for_different_angles.svg/960px-Ideal_projectile_motion_for_different_angles.svg	Projectile motion example
1	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/%DA%86%D8%B1%D8%AA%DA%A9%D9%87_%DA%98%D8%A7%D9%BE%D9%86%DB%8C.jpg/960px-%DA%86%D8%B1%D8%AA%DA%A9%D9%87_%DA%98%D8%A7%D9%BE%D9%86%DB%8C.jpg	Soroban
1	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Lifo_stack.png/960px-Lifo_stack.png	Stack Operations
1	https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Debian_Unstable_GRUB2_%282015%29.png/960px-Debian_Unstable_GRUB2_%282015%29.png	GRUB OS Selection
1	https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/AMD_Threadripper.svg/960px-AMD_Threadripper.svg	AMD Threadripper CPU
1	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/EDF_Example_Timing_Diagram.png/960px-EDF_Example_Timing_Diagram.png	Example schedule
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Race_condition.svg/960px-Race_condition.svg	Race condition in a circuit
1	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/X86_Paging_4K.svg/960px-X86_Paging_4K.svg	x86 two-level page table
1	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/X86_Paging_PAE_4K.svg/960px-X86_Paging_PAE_4K.svg	x86 PAE Three-level page table
1	https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Program_memory_layout.pdf/960px-Program_memory_layout.pdf	Process Memory Layout
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hash_table_3_1_1_0_1_0_0_SP.svg/960px-Hash_table_3_1_1_0_1_0_0_SP.svg	Hash Table
1	https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Bplustree.png/960px-Bplustree.png	B+-Tree
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/SAS_Container.png/960px-SAS_Container.png	Two-person concept
1	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/SecureID_token_new.JPG/960px-SecureID_token_new.JPG	MFA token
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/An_illustration_of_the_dining_philosophers_problem.png/960px-An_illustration_of_the_dining_philosophers_problem.png	Dining Philosopers
1	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Diamond_inheritance.svg/960px-Diamond_inheritance.svg	Diamond Problem
1	https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/BankAccount1.svg/960px-BankAccount1.svg	Class Diagram
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Activity_conducting.svg/960px-Activity_conducting.svg	Activity Diagram
1	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Use_case_restaurant_model.svg/960px-Use_case_restaurant_model.svg	Use Case Diagram
1	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/MVC-Process.svg/960px-MVC-Process.svg	Model-View-Controller Paradigm
1	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Wojna_gra_karciana.jpg/960px-Wojna_gra_karciana.jpg	cards
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/IBM_System_Z9_%28type_2094_inside%29.jpg/960px-IBM_System_Z9_%28type_2094_inside%29.jpg	mainframe
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/HP_Laserjet_5_DN_1.jpg/960px-HP_Laserjet_5_DN_1.jpg	printer
1	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Client-server-model.svg/960px-Client-server-model.svg	Client-server model
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/SMTP-transfer-model.svg/960px-SMTP-transfer-model.svg	Email
1	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Amtrak_network_map_2016.png/960px-Amtrak_network_map_2016.png	US Rail network
1	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/White_Matter_Connections_Obtained_with_MRI_Tractography.png/960px-White_Matter_Connections_Obtained_with_MRI_Tractography.png	Human brain connectome
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Multiplexing_diagram.svg/960px-Multiplexing_diagram.svg	Multiplexing multiple flows over one link
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Telephony_multiplexer_system.gif/960px-Telephony_multiplexer_system.gif	Synchronous Time-division multiplexing (STDM)
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Fourier_transform_time_and_frequency_domains_%28small%29.gif/960px-Fourier_transform_time_and_frequency_domains_%28small%29.gif	Fourier Series
1	https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/QAM16_Demonstration.gif/960px-QAM16_Demonstration.gif	QAM Example
1	https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Pure_ALOHA1.svg/960px-Pure_ALOHA1.svg	Pure ALOHA collisions
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Slotted_ALOHA.svg/960px-Slotted_ALOHA.svg	Slotted Aloha
1	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Aloha_PureVsSlotted.svg/960px-Aloha_PureVsSlotted.svg	Pure vs Slotted Efficiency
1	https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Electromagnetic-Spectrum.svg/960px-Electromagnetic-Spectrum.svg	EM Spectrum
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Frequency_reuse.svg/960px-Frequency_reuse.svg	Frequency Reuse
1	https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/CellTowersAtCorners.gif/960px-CellTowersAtCorners.gif	Frequency Reuse with Directional Antennas
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/DHCP_session.svg/960px-DHCP_session.svg	DHCP Example
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Pluto_in_True_Color_-_High-Res.jpg/960px-Pluto_in_True_Color_-_High-Res.jpg	Pluto on July 14, 2015
1	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Goldstone_DSN_antenna.jpg/960px-Goldstone_DSN_antenna.jpg	70m antenna at Goldstone, CA
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Reverse_proxy_h2g2bob.svg/960px-Reverse_proxy_h2g2bob.svg	Reverse proxy
1	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Pixel-example.png/960px-Pixel-example.png	Pixel
1	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Dct-table.png/960px-Dct-table.png	DCT Table
1	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Idct-animation.gif/960px-Idct-animation.gif	Iterative DCT for capital letter A
1	https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lcars_wallpaper.gif/960px-Lcars_wallpaper.gif	Star Trek LCARS Interface
1	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Beta-D-Gulopyranose_Molek%C3%BClbaukasten_9288.JPG/960px-Beta-D-Gulopyranose_Molek%C3%BClbaukasten_9288.JPG	Molecular Model
1	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Supply-and-demand.svg/960px-Supply-and-demand.svg	Supply and Demand Economic Model
